dataset,split,Gaussian Process,XGBoost,FFNN,gp_rmse,xgb_rmse,ffnn_rmse
Dihydrofolate,RND_01,0.5149670393510579,0.4579218621494221,0.5220221987269286,0.7819052570378896,0.826607712621175,0.7761977338904644
Dihydrofolate,RND_02,0.5805199475360763,0.5622867552285531,0.4910948294577432,0.7628193930842847,0.7792214746133183,0.8402035272413297
Dihydrofolate,RND_03,0.6120839034896124,0.5554107132511445,0.6307983368782873,0.7769721465285999,0.8317945037551296,0.7579985485863435
Dihydrofolate,RND_04,0.48392197692460415,0.32792872341943846,0.37441998984132796,0.8391862529752275,0.9576533794868969,0.9239364690932138
Dihydrofolate,RND_05,0.6264513201453366,0.5846072322077093,0.6346392612934619,0.7164665089134091,0.7555300749342571,0.7085707646959498
Dihydrofolate,RND_06,0.5298181693079863,0.4495002763034027,0.4124393331242239,0.7705314816998331,0.833750329967207,0.8613582618528195
Dihydrofolate,RND_07,0.554988223049145,0.4453746175237434,0.4729549529184437,0.7969021195074772,0.8896498303940203,0.8672475824699236
Dihydrofolate,RND_08,0.4383349350198299,0.25576231175758324,0.3533106929039386,0.8023712883385126,0.9236182446991484,0.8609630509787027
Dihydrofolate,RND_09,0.547678283727435,0.5055930708272177,0.527211208452355,0.7980798958046044,0.8343819982905093,0.8159362671832288
Dihydrofolate,SCAF_00,0.02399353802292059,-0.08662808512662568,-0.10292424633591724,1.203744199635013,1.2701304378859617,1.27961906801081
Dihydrofolate,SCAF_01,0.21800189949280857,0.09767538114358465,0.2019282198048451,1.042871939976255,1.1202360296329017,1.0535353452595566
Dihydrofolate,SCAF_02,0.23270158272958108,0.16871028617862172,0.20094175441775308,0.7686053677064448,0.8000137756249668,0.7843510470500996
Dihydrofolate,SCAF_03,0.4469444793685583,0.34236124706398974,0.26991810152852824,0.7439167050288088,0.81121065017652,0.8547236787899565
Dihydrofolate,SCAF_04,-0.0016794697432733763,-0.21125085741598215,-0.1250366184576872,1.1027901312046746,1.2126780965776485,1.1687236000839114
Dihydrofolate,SCAF_05,0.07970251386110139,-0.023745534084042896,-0.08283969822602821,1.0061990262866716,1.0612453124733374,1.091445009468346
Dihydrofolate,SCAF_06,0.20477338380517374,0.08309916879716694,0.2153128345020523,0.9215378419166425,0.9895298582736588,0.9154107214261119
Dihydrofolate,SCAF_07,0.29184969119888404,0.30287456612419816,0.342519752496669,0.891821687967498,0.8848522694471173,0.8593234436759056
Dihydrofolate,SCAF_08,0.3250383351373298,0.3634719026630051,0.3240791687542729,0.9109783371029149,0.8846618218311973,0.9116253883632837
Dihydrofolate,SCAF_09,-0.08114640427248632,-0.265849161491444,-0.25068305597272067,1.194762228603317,1.2927966239401174,1.2850288061465922
Dopamine,RND_00,0.5444192649078969,0.48760485815849797,0.4803388973709064,0.7103600671663246,0.7533527290134641,0.7586753424247107
Dopamine,RND_01,0.5782139944778719,0.46800603769367555,0.5340125251011737,0.7076649686250813,0.7947581057857465,0.7438215148973055
Dopamine,RND_02,0.49919152313672066,0.3784831941292658,0.29899217763999153,0.7059868759286794,0.7864791800838851,0.835261039171046
Dopamine,RND_03,0.5637170211959563,0.5490615395305312,0.5644020301868102,0.723502884231215,0.735554354418809,0.7229346742670254
Dopamine,RND_04,0.5382934151229894,0.48718688863666426,0.5254130978367156,0.7152384254884026,0.7537847804795716,0.7251463717141303
Dopamine,RND_05,0.5185339418217045,0.4954068683951186,0.4041863235588413,0.6860077397960893,0.7022905827946919,0.7631350689106505
Dopamine,RND_06,0.6137683042493077,0.5380221174798898,0.5189775825886092,0.685439156449764,0.7496448242737666,0.7649404256737007
Dopamine,RND_07,0.541774010529413,0.5205278728686447,0.4338017938743165,0.7040901469517321,0.7202281485521451,0.7826591240848143
Dopamine,RND_08,0.31658919133381824,0.2610459678209749,0.22769326252542288,0.8761851731817857,0.9110950556025142,0.9314292882369566
Dopamine,RND_09,0.5611379062893329,0.5000923612064077,0.4819785124492778,0.7147547909006304,0.7628478493782952,0.7765455352008631
Dopamine,SCAF_00,0.3147427687688611,0.21110805013604772,0.04559545515765917,0.7961418401081254,0.8542252348434097,0.9395716064197963
Dopamine,SCAF_01,0.11531476233433224,0.11244316082107553,0.015563984912451923,0.8855242243245419,0.886960222382223,0.9341138317174746
Dopamine,SCAF_02,0.3001464298229297,0.035435856151331824,0.2466990205539379,0.8983696104865604,1.0546710329665634,0.9320425240050663
Dopamine,SCAF_03,0.22984527407435051,-0.05671224038223999,0.03200254931317692,0.8585900033924097,1.005715640900331,0.9625735905354145
Dopamine,SCAF_04,0.2846462620944462,0.07967801375996098,0.35660031568167705,0.8155477705518109,0.9250365184786665,0.7734449375064548
Dopamine,SCAF_05,0.1668275373306204,0.090149534105888,0.12165439624820562,0.8318321474713555,0.8692671294195211,0.8540847403354968
Dopamine,SCAF_06,0.32255279614748245,0.17440729903771113,0.21448158350473512,0.785487741685613,0.8671307890402268,0.8458237397160727
Dopamine,SCAF_07,0.2058309065674776,0.005123457867402648,0.1279675563146231,0.846922115762263,0.9479197641234669,0.8874692303414974
Dopamine,SCAF_08,0.2890544597223178,0.1089332690710395,0.3229885205655244,0.8912255934095495,0.997756572037341,0.8696960525921372
Dopamine,SCAF_09,0.18596509292365537,0.14291122726456018,-0.04810818867700917,0.8295637797907709,0.8512187288509858,0.9413070784508902
Ephrin,RND_00,0.6396200343401424,0.5745476156898891,0.5964082899111485,0.6489908419484544,0.7051536034566426,0.6867985462051719
Ephrin,RND_01,0.6036442044559553,0.5743582859158676,0.5843483913838216,0.6883942004839326,0.7133730331576756,0.7049516465344565
Ephrin,RND_02,0.6482373486825598,0.6107816239494889,0.595999651396014,0.6468711357768363,0.6804395958269178,0.6932402651850417
Ephrin,RND_03,0.6405834661767416,0.6152071713175318,0.5815249780343299,0.6481296084621431,0.6706197211755919,0.6993548746958881
Ephrin,RND_04,0.5989478837129767,0.5621018581750814,0.5814848788016644,0.7154855028792177,0.7476304537797561,0.7308967139059962
Ephrin,RND_05,0.6680171077835584,0.6067272419473877,0.6207419483828817,0.6031268955223787,0.6564441395513341,0.6446414817750061
Ephrin,RND_06,0.6708003819630755,0.6238089224128359,0.6303974163217323,0.6099187955964052,0.6519985068129607,0.6462638372360484
Ephrin,RND_07,0.6444212318263548,0.6219047364903145,0.6395588890821483,0.6760934456905524,0.6971711926932487,0.6807003516771237
